product_id,sku,title,slug,brand,category,price,currency,description,image_url,image_filename,available_countries,stock,is_available,tags,gender,color,size,material,rating,num_reviews,popularity_score,weight_kg,dimensions_cm,manufactured_date,genre,discount
2000000,NIK-00000,Nike Mens Revolution 8 Running,nike-mens-revolution-8-running,Nike,Footwear,55,USD,"Meet your new daily wingman: the Revolution 8—engineered to make asphalt feel like clouds with feather-light mesh that breathes with every mile and spring-loaded foam that rockets you forward. A snappy green fade slices through the monochrome pack, turning heads from sunrise jogs to late-night coffee runs. Lace up once and the plush, molded heel collar locks you in for zero-distraction miles, while the grippy rubber outsole bites pavement like it owes you money. Lightweight, lightning-fast, and built to outlast your playlist—this is speed you can live in.",https://picsum.photos/seed/nike-mens-revolution-8-running/1200/1200,nike-mens-revolution-8-running.jpg,"FR,DE,US,UK",200,True,"portable,running,premium",Men,"Green, Black, White, Grey, Navy","7, 8, 8.5, 9, 9.5, 10, 10.5, 11, 12",Synthetic,4.2,2049,87,1.44,50x25x14,24-10-2025,,12
2000001,NIK-00001,Nike Footwear Max 410,nike-footwear-max-410,Nike,Footwear,75,USD,"Meet the Nike Footwear Max 410—where street swagger meets track-ready tech. Lightweight mesh hugs your foot like a second skin, while responsive cushioning turns every stride into a spring-loaded launch. Rubber that bites the pavement pairs with flex-grooves that bend with you, so you cruise from dawn dash to late-night hangouts without missing a beat. Subtle Swoosh branding keeps the look clean and classic, letting your moves do the talking. Lace up and feel the Max difference: comfort that lasts longer than your playlist.",https://picsum.photos/seed/nike-footwear-max-410/1200/1200,nike-footwear-max-410.jpg,AU,379,True,"running,travel,leather",Unisex,"White, Black, Cool Grey, University Red","7, 8, 9, 10, 11, 12",Cotton,3.5,4931,65,0.74,46x49x35,09-10-2025,,10
2000002,NIK-00002,Nike Footwear X 3612,nike-footwear-x-3612,Nike,Footwear,75,USD,"Engineered for all-day motion, Nike Footwear X 3612 wraps your feet in feather-light mesh and responsive foam that spring-loads every stride. The sleek, street-ready silhouette pairs with a grippy rubber outsole to keep you steady from treadmill sprints to coffee-run sprints. Subtle Swoosh branding nods to classic Nike heritage while modern color pops let your style speak louder than words. Lace them up and feel the everyday revolution.",https://picsum.photos/seed/nike-footwear-x-3612/1200/1200,nike-footwear-x-3612.jpg,"AU,DE",174,True,"portable,running,premium",Men,"Black, White, Grey, University Red, Cobalt Bliss","7, 8, 9, 10, 11, 12",Plastic,3.2,2817,68,2.83,51x34x35,09-10-2025,,10
2000003,NIK-00003,Nike Footwear Max 6202,nike-footwear-max-6202,Nike,Footwear,85,USD,"Hit the streets or the track in the Nike Footwear Max 6202, a sleek powerhouse that fuses feather-light cushioning with head-turning design for all-day energy return. Breathable engineered mesh keeps your feet cool while the wavy Max-Air pods swallow impact, letting you glide through miles or errands without the crash landing. Subtle reflective hits catch the flash of city lights, so every step looks as fast as it feels.",https://picsum.photos/seed/nike-footwear-max-6202/1200/1200,nike-footwear-max-6202.jpg,"FR,UK,US",23,True,"wireless,fitness,budget",Unisex,"White, Black, Wolf Grey, Midnight Navy, University Red","7, 8, 9, 10, 11, 12",Plastic,3.6,2988,59,1.28,47x22x5,09-10-2025,,15
2000004,NIK-00004,Nike Footwear Classic 8752,nike-footwear-classic-8752,Nike,Footwear,72,USD,"Lace up and stand out with the Nike Footwear Classic 8752—a timeless kick that merges court-side heritage with street-ready swagger. Its supple upper and cushioned midsole deliver all-day comfort whether you’re pounding pavement or pairing with denim. Subtle Swoosh branding and clean lines keep every step looking crisp, fresh, and unmistakably Nike.",https://picsum.photos/seed/nike-footwear-classic-8752/1200/1200,nike-footwear-classic-8752.jpg,"AU,CA,FR",112,True,"office,daily,fitness",Unisex,"White/Black, Navy/Gum, Grey/Red, Black/White","7, 8, 9, 10, 11, 12",Resin,3.8,542,49,3.3,50x25x14,09-10-2025,,10
2000005,NIK-00005,Nike Footwear 2025 6483,nike-footwear-2025-6483,Nike,Footwear,85,USD,"Stride into the future with the Nike Footwear 2025 6483, a sleek fusion of feather-light mesh and responsive cushioning that turns sidewalks into runways. Engineered for all-day hustle, its grippy traction pods keep every step secure while the aerodynamic silhouette keeps every outfit on point. Whether you’re crushing a 5 a.m. jog or a midnight city stroll, these kicks deliver Nike-grade durability with next-level swagger.",https://picsum.photos/seed/nike-footwear-2025-6483/1200/1200,nike-footwear-2025-6483.jpg,"UK,CA,FR",275,True,"portable,gaming,travel",Men,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Resin,3.4,1133,58,0.36,8x60x8,09-10-2025,,10
2000006,NIK-00006,Nike Footwear Classic 2622,nike-footwear-classic-2622,Nike,Footwear,75,USD,"Slip into timeless swagger with the Nike Footwear Classic 2622, where retro court vibes meet cloud-soft cushioning for all-day street-to-studio comfort. A sleek leather-and-mesh upper hugs your foot in breathable support, while the low-profile rubber cupsole grips every stride with quiet confidence. Whether you’re pacing city blocks or pairing them with denim, these kicks turn every step into a style statement.",https://picsum.photos/seed/nike-footwear-classic-2622/1200/1200,nike-footwear-classic-2622.jpg,"DE,FR,CA,IN",497,True,"sport,office,gaming",Unisex,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Resin,3.2,3561,58,0.06,51x51x17,09-10-2025,,10
2000007,NIK-00007,Nike Footwear Edition 2928,nike-footwear-edition-2928,Nike,Footwear,85,USD,"Slip into tomorrow with the Nike Footwear Edition 2928—an ultra-breathable, feather-light silhouette engineered to keep every stride as fresh as your first. Its responsive foam midsole turns city sidewalks and treadmill belts into launchpads, while the grip-happy outsole sticks landings like a gymnast. Minimalist mesh uppers flash subtle reflective hits for night-time shine, and recycled materials let you flex eco-cred alongside street style. Lace up, clock in, and outrun yesterday.",https://picsum.photos/seed/nike-footwear-edition-2928/1200/1200,nike-footwear-edition-2928.jpg,"UK,IN",390,True,"eco,portable,fitness",Women,"White/Black, Cool Grey/Volt, Deep Royal/White","7, 8, 9, 10, 11, 12",Resin,4.0,916,82,3.08,58x56x20,09-10-2025,,10
2000008,NIK-00008,Nike Footwear Eco 950,nike-footwear-eco-950,Nike,Footwear,85,USD,"Lace into the future with the Nike Footwear Eco 950—where planet-friendly tech meets street-ready swagger. Every stride feels feather-light thanks to recycled-engineered mesh that breathes like a summer breeze, while the soy-based midsole turns city sidewalks into launch pads. Whether you’re grinding out miles or coffee-shop hopping, these kicks keep your look fresh and your conscience cleaner than your PR.",https://picsum.photos/seed/nike-footwear-eco-950/1200/1200,nike-footwear-eco-950.jpg,AU,248,True,"running,fitness,portable",Unisex,"Ghost Green, Midnight Navy, Ash Grey, Blackout","7, 8, 9, 10, 11, 12",Metal,4.9,1352,70,3.06,32x18x35,09-10-2025,,10
2000009,NIK-00009,Nike Footwear Eco 5108,nike-footwear-eco-5108,Nike,Footwear,75,USD,"Lace up and lighten your footprint with the Nike Footwear Eco 5108—engineered from recycled knits that feel feather-weight on the move yet tough enough for city miles. A springy foam midsole returns energy with every stride, while the minimalist, stitch-free upper keeps the look clean and the planet greener. Whether you're sprinting to the gym or strolling to brunch, these kicks keep you fast, fresh, and future-minded.",https://picsum.photos/seed/nike-footwear-eco-5108/1200/1200,nike-footwear-eco-5108.jpg,"FR,DE,US,UK",115,True,"running,eco,sport",Women,"White, Black, Grey, Navy","7, 8, 9, 10, 11, 12",Synthetic,3.4,581,61,0.25,9x7x22,09-10-2025,,10
