product_id,sku,title,slug,brand,category,subcategory,price,discounted_price,currency,description,image_url,image_filename,available_countries,stock,is_available,tags,gender,color,size,material,rating,num_reviews,popularity_score,weight_kg,dimensions_cm,manufactured_date,genre
2000001,NIK-00001,Nike Footwear Max 410,nike-footwear-max-410,Nike,Footwear / Activewear,Footwear,304.37,208.71,USD,Nike Footwear Max 410: High-quality Footwear / Activewear product by Nike. Durable.,https://picsum.photos/seed/nike-footwear-max-410/1200/1200,nike-footwear-max-410.jpg,AU,379,True,"running,travel,leather",Unisex,Black,M,Cotton,3.5,4931,65,0.74,46x49x35,09-10-2025,
2000002,NIK-00002,Nike Footwear X 3612,nike-footwear-x-3612,Nike,Footwear / Activewear,Footwear,196.21,136.83,USD,Nike Footwear X 3612: High-quality Footwear / Activewear product by Nike. Comfortable.,https://picsum.photos/seed/nike-footwear-x-3612/1200/1200,nike-footwear-x-3612.jpg,"AU,DE",174,True,"portable,running,premium",Men,White,M,Plastic,3.2,2817,68,2.83,51x34x35,09-10-2025,
2000003,NIK-00003,Nike Footwear Max 6202,nike-footwear-max-6202,Nike,Footwear / Activewear,Footwear,59.16,41.57,USD,Nike Footwear Max 6202: High-quality Footwear / Activewear product by Nike. Stylish.,https://picsum.photos/seed/nike-footwear-max-6202/1200/1200,nike-footwear-max-6202.jpg,"FR,UK,US",23,True,"wireless,fitness,budget",Unisex,Red,M,Plastic,3.6,2988,59,1.28,47x22x5,09-10-2025,
2000004,NIK-00004,Nike Footwear Classic 8752,nike-footwear-classic-8752,Nike,Footwear / Activewear,Footwear,299.78,197.01,USD,Nike Footwear Classic 8752: High-quality Footwear / Activewear product by Nike. Premium finish.,https://picsum.photos/seed/nike-footwear-classic-8752/1200/1200,nike-footwear-classic-8752.jpg,"AU,CA,FR",112,True,"office,daily,fitness",Unisex,Red,S,Resin,3.8,542,49,3.3,50x25x14,09-10-2025,
2000005,NIK-00005,Nike Footwear 2025 6483,nike-footwear-2025-6483,Nike,Footwear / Activewear,Footwear,357.33,294.8,USD,Nike Footwear 2025 6483: High-quality Footwear / Activewear product by Nike. Durable.,https://picsum.photos/seed/nike-footwear-2025-6483/1200/1200,nike-footwear-2025-6483.jpg,"UK,CA,FR",275,True,"portable,gaming,travel",Men,Beige,8,Resin,3.4,1133,58,0.36,8x60x8,09-10-2025,
2000006,NIK-00006,Nike Footwear Classic 2622,nike-footwear-classic-2622,Nike,Footwear / Activewear,Footwear,323.07,241.58,USD,Nike Footwear Classic 2622: High-quality Footwear / Activewear product by Nike. Comfortable.,https://picsum.photos/seed/nike-footwear-classic-2622/1200/1200,nike-footwear-classic-2622.jpg,"DE,FR,CA,IN",497,True,"sport,office,gaming",Unisex,Olive,One Size,Resin,3.2,3561,58,0.06,51x51x17,09-10-2025,
2000007,NIK-00007,Nike Footwear Edition 2928,nike-footwear-edition-2928,Nike,Footwear / Activewear,Footwear,217.84,138.82,USD,Nike Footwear Edition 2928: High-quality Footwear / Activewear product by Nike. Lightweight.,https://picsum.photos/seed/nike-footwear-edition-2928/1200/1200,nike-footwear-edition-2928.jpg,"UK,IN",390,True,"eco,portable,fitness",Women,Black,32,Resin,4,916,82,3.08,58x56x20,09-10-2025,
2000008,NIK-00008,Nike Footwear Eco 950,nike-footwear-eco-950,Nike,Footwear / Activewear,Footwear,119.12,95.13,USD,Nike Footwear Eco 950: High-quality Footwear / Activewear product by Nike. Comfortable.,https://picsum.photos/seed/nike-footwear-eco-950/1200/1200,nike-footwear-eco-950.jpg,AU,248,True,"running,fitness,portable",Unisex,Blue,34,Metal,4.9,1352,70,3.06,32x18x35,09-10-2025,
2000009,NIK-00009,Nike Footwear Eco 5108,nike-footwear-eco-5108,Nike,Footwear / Activewear,Footwear,177.63,148.34,USD,Nike Footwear Eco 5108: High-quality Footwear / Activewear product by Nike. Lightweight.,https://picsum.photos/seed/nike-footwear-eco-5108/1200/1200,nike-footwear-eco-5108.jpg,"FR,DE,US,UK",115,True,"running,eco,sport",Women,Olive,XL,Synthetic,3.4,581,61,0.25,9x7x22,09-10-2025,
2000010,NIK-00010,Nike Footwear Max 8424,nike-footwear-max-8424,Nike,Footwear / Activewear,Footwear,118.06,98.48,USD,Nike Footwear Max 8424: High-quality Footwear / Activewear product by Nike. Durable.,https://picsum.photos/seed/nike-footwear-max-8424/1200/1200,nike-footwear-max-8424.jpg,"AU,FR",295,True,"urban,premium,fitness",Men,Green,XL,Leather,3.2,3531,64,1.47,60x51x4,09-10-2025,
